s.no,Name,Location,Year,KmDriven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,doubleKmDriven
3183,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,95500,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,,14.36,47750
3184,Hyundai Grand i10 Asta,Bangalore,2016,103732,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.5,51866
3185,Nissan Micra Diesel XV Premium,Mumbai,2013,138000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.0,69000
3186,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2017,125576,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,8.1 Lakh,6.08,62788
3187,Volkswagen Vento Diesel Highline,Chennai,2013,300000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.0,150000
3188,Toyota Fortuner 4x2 AT,Kochi,2015,95132,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,20.25,47566
3190,Toyota Innova Crysta 2.8 GX AT,Pune,2018,40600,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,20.97 Lakh,18.0,20300
3191,Mercedes-Benz A Class A180 CDI,Pune,2015,96600,Diesel,Automatic,First,20.0 kmpl,2143 CC,107.3 bhp,5.0,,17.5,48300
3192,Hyundai EON D Lite,Pune,2013,60000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.1,30000
3193,Hyundai Elantra CRDi SX,Bangalore,2012,72000,Diesel,Manual,Second,22.7 kmpl,1582 CC,126.24 bhp,5.0,,7.5,36000
3194,Mini Cooper 3 DOOR D,Kochi,2015,110564,Diesel,Automatic,Second,20.7 kmpl,1496 CC,113.98 bhp,4.0,34.89 Lakh,24.77,55282
3195,Renault Duster 110PS Diesel RXZ Option,Bangalore,2015,120000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,5.0,,8.65,60000
3196,Ford Endeavour 3.2 Titanium AT 4X4,Chennai,2019,18000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,,35.5,9000
3197,Toyota Corolla Altis GL MT,Delhi,2014,121500,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.5,60750
3198,Mahindra XUV500 W7,Delhi,2018,18000,Diesel,Manual,First,14.0 kmpl,2179 CC,155 bhp,7.0,16.4 Lakh,13.0,9000
3199,BMW 7 Series 730Ld Design Pure Excellence CBU,Kolkata,2012,82200,Diesel,Automatic,First,16.77 kmpl,2993 CC,261.49 bhp,5.0,1.66 Cr,26.5,41100
3200,Maruti Wagon R LX BSIII,Ahmedabad,2004,120000,Petrol,Manual,Second,17.3 kmpl,1061 CC,64 bhp,5.0,,1.4,60000
3201,Honda City i VTEC SV,Kochi,2017,76848,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,7.51,38424
3202,Maruti Swift VDI,Delhi,2014,100000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.3,50000
3203,Honda City i-VTEC CVT VX,Mumbai,2015,38000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29 Lakh,8.95,19000
3204,Maruti Ertiga VDI,Kochi,2015,117468,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.91,58734
3205,Renault Duster 110PS Diesel RxZ,Coimbatore,2016,261028,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,9.75,130514
3206,Maruti Swift Dzire VDi,Jaipur,2010,260000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,4.0,130000
3207,Maruti Ritz VDi,Hyderabad,2011,158000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.65,79000
3208,Mahindra XUV500 W8 4WD,Chennai,2013,156000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,10.75,78000
3209,Honda Brio S MT,Kochi,2015,196532,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,4.51,98266
3210,Mercedes-Benz M-Class ML 350 4Matic,Coimbatore,2016,91076,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,,49.22,45538
3211,Tata Manza Club Class Quadrajet90 LS,Coimbatore,2014,108896,Diesel,Manual,First,21.02 kmpl,1248 CC,88.8 bhp,5.0,,3.7,54448
3212,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2014,635172,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,12.99,317586
3213,Maruti Swift VXI,Delhi,2015,124176,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.15,62088
3214,Hyundai Verna 1.6 EX VTVT,Kolkata,2012,29600,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,4.4,14800
3215,Honda Mobilio S i VTEC,Kolkata,2015,52000,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,,4.25,26000
3216,Honda Amaze S i-Vtech,Mumbai,2017,128020,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.25,64010
3217,Honda City i-VTEC CVT VX,Jaipur,2017,70000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,14.67 Lakh,7.7,35000
3218,Land Rover Range Rover 2.2L Dynamic,Pune,2015,104000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,39.75,52000
3219,Honda City i-VTEC V,Mumbai,2017,22000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,12.57 Lakh,8.5,11000
3220,Mercedes-Benz E-Class 280 Elegance,Jaipur,2008,124000,Petrol,Automatic,First,9.5 kmpl,2997 CC,231.1 bhp,5.0,,7.0,62000
3221,Ford Ikon 1.3 Flair,Chennai,2002,130268,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5.0,,0.8,65134
3222,Toyota Fortuner 4x2 Manual,Delhi,2013,142000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,15.25,71000
3223,Maruti A-Star Vxi,Hyderabad,2008,102732,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.25,51366
3224,Tata Sumo EX,Kolkata,2016,92600,Diesel,Manual,First,14.07 kmpl,1948 CC,83.1 bhp,7.0,,4.85,46300
3225,Honda City V AT,Coimbatore,2012,121816,Petrol,Automatic,Second,15.6 kmpl,1497 CC,116.3 bhp,5.0,,6.42,60908
3226,Nissan Micra XV D,Chennai,2012,186900,Diesel,Manual,Second,23.19 kmpl,1461 CC,63.12 bhp,5.0,9.48 Lakh,2.5,93450
3227,Hyundai Verna SX CRDi AT,Hyderabad,2011,208000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5.0,,5.75,104000
3228,Maruti 800 Std,Pune,2003,104000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,,0.5,52000
3229,Mahindra XUV500 W8 4WD,Coimbatore,2015,171996,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,11.52,85998
3230,Maruti SX4 VDI,Delhi,2014,180000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5.0,,4.5,90000
3231,Hyundai i20 Sportz AT 1.4,Bangalore,2013,144000,Petrol,Automatic,First,15.0 kmpl,1396 CC,98.6 bhp,5.0,,4.75,72000
3232,Hyundai Creta 1.6 CRDi SX,Coimbatore,2019,217284,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.54,108642
3233,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,119260,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,23.41,59630
3234,Toyota Fortuner 4x2 AT,Hyderabad,2013,232000,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,,19.25,116000
3235,Volvo S60 D4 KINETIC,Ahmedabad,2015,68000,Diesel,Automatic,First,9.0 kmpl,1984 CC,181 bhp,5.0,,20.0,34000
3236,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Delhi,2011,140000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,13.0,70000
3237,Honda Accord 2.4 Elegance M/T,Chennai,2010,160000,Petrol,Manual,First,10.2 kmpl,2354 CC,180 bhp,5.0,,3.99,80000
3238,Honda Amaze S i-Dtech,Pune,2015,220000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.65,110000
3239,Maruti Dzire ZDI,Ahmedabad,2013,112908,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.95 Lakh,4.65,56454
3240,Maruti Swift LXI,Kolkata,2013,120000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,3.15,60000
3241,Toyota Corolla Altis G HV AT,Delhi,2013,112000,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,8.25,56000
3242,Land Rover Range Rover Vogue SE 4.4 SDV8,Bangalore,2012,126000,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,5.0,,65.0,63000
3243,Maruti Swift VDI,Chennai,2012,126000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.5,63000
3244,Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,30100,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,23.19 Lakh,17.5,15050
3245,Maruti Swift VXI BSIV,Mumbai,2016,117604,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,4.31,58802
3246,Honda Jazz 1.2 SV i VTEC,Kochi,2016,50476,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,6.2,25238
3248,Volkswagen Polo Petrol Trendline 1.2L,Kochi,2011,117504,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,3.32,58752
3249,Honda Civic 2006-2010 1.8 V AT,Delhi,2011,124000,Petrol,Automatic,First,12.9 kmpl,1799 CC,130 bhp,5.0,,3.75,62000
3250,Toyota Etios G SP,Bangalore,2013,264000,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5.0,,4.7,132000
3251,Hyundai Verna 1.6 SX VTVT,Chennai,2016,102000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,6.5,51000
3252,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2009,370400,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,7.25,185200
3253,Maruti SX4 S Cross DDiS 320 Zeta,Coimbatore,2016,246868,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5.0,,8.94,123434
3254,Ford Freestyle Titanium Plus Petrol,Kolkata,2018,17792,Petrol,Manual,First,19.0 kmpl,1194 CC,94.68 bhp,5.0,8.24 Lakh,7.34,8896
3255,Maruti Baleno Alpha 1.2,Delhi,2016,34000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,6.9,17000
3256,Honda Jazz V,Mumbai,2016,62756,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.71 Lakh,5.9,31378
3257,Hyundai Verna 1.6 CRDi EX AT,Pune,2013,228000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,6.75,114000
3258,Honda Amaze VX i-DTEC,Ahmedabad,2014,162000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.1,81000
3259,Audi Q3 30 TDI Premium FWD,Mumbai,2017,62000,Diesel,Automatic,First,18.51 kmpl,1968 CC,147.51 bhp,5.0,44.75 Lakh,27.0,31000
3260,Skoda Rapid 2013-2016 1.6 MPI Ambition,Mumbai,2014,70000,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,5.0,,4.5,35000
3261,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kolkata,2013,240004,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,14.5,120002
3262,Maruti Swift Dzire VDI,Jaipur,2014,150148,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,5.25,75074
3263,Tata Indica Vista Quadrajet LS,Kolkata,2012,160000,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.2,80000
3264,Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,2006,294700,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,8.0,,4.95,147350
3265,Renault Duster 110PS Diesel RxZ Plus,Hyderabad,2013,120000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,5.0,,7.5,60000
3266,Mercedes-Benz E-Class E400 Cabriolet,Kolkata,2015,30004,Petrol,Automatic,First,10.0 kmpl,2996 CC,333 bhp,4.0,87.57 Lakh,48.0,15002
3267,Honda Amaze S i-Dtech,Delhi,2015,116000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.45,58000
3268,Mercedes-Benz GLE 350d,Coimbatore,2018,117108,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,95.13 Lakh,59.65,58554
3269,Maruti Ritz VDi,Kochi,2015,114068,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,4.38,57034
3270,Maruti Ciaz ZDi Plus SHVS,Kochi,2016,81620,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,7.9,40810
3271,Hyundai Santro Xing GL,Bangalore,2008,70536,Petrol,Manual,Second,0.0 kmpl,1086 CC,62 bhp,5.0,,1.88,35268
3272,BMW 5 Series 520d Sedan,Mumbai,2008,162000,Diesel,Automatic,Second,18.48 kmpl,,,,,10.5,81000
3273,Maruti Baleno Delta CVT,Coimbatore,2018,69260,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,8.57 Lakh,7.29,34630
3274,Ford Fiesta Diesel Titanium Plus,Hyderabad,2012,90244,Diesel,Manual,First,23.5 kmpl,1498 CC,88.7 bhp,5.0,,6.0,45122
3275,Mahindra XUV500 W8 2WD,Chennai,2011,252000,Diesel,Manual,Third,16.0 kmpl,2179 CC,140 bhp,7.0,,6.7,126000
3276,Maruti Alto LXi,Jaipur,2009,126000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.5,63000
3277,Mini Cooper 3 DOOR D,Kochi,2016,64596,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,4.0,35 Lakh,23.8,32298
3278,Mahindra XUV500 W8 4WD,Kochi,2014,126576,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,7.77,63288
3279,Hyundai Santro Xing GLS,Coimbatore,2012,173348,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,3.32,86674
3280,Maruti Swift VDI,Kochi,2015,186244,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.94,93122
3281,Mercedes-Benz A Class A180 CDI,Delhi,2013,68000,Diesel,Automatic,Second,20.0 kmpl,2143 CC,107.3 bhp,5.0,,11.0,34000
3282,Renault KWID RXT,Hyderabad,2016,96000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.4,48000
3283,Maruti Swift VDI,Kochi,2013,225052,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.17,112526
3284,Maruti Zen LXI,Hyderabad,2005,168120,Petrol,Manual,Second,17.3 kmpl,993 CC,60 bhp,5.0,,1.25,84060
3285,Hyundai Grand i10 Magna AT,Mumbai,2016,18000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.45,9000
3286,Tata Manza Aura Quadrajet BS IV,Jaipur,2012,158000,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5.0,,2.59,79000
3287,Mahindra XUV500 W10 AWD,Pune,2015,175800,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,12.01,87900
3288,Maruti Swift Dzire 1.2 Vxi BSIV,Delhi,2010,289700,Petrol,Manual,Second,17.5 kmpl,1197 CC,85.8 bhp,5.0,,2.45,144850
3289,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,76000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,29.0,38000
3291,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2010,214000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,11.99,107000
3292,Honda City i VTEC CVT VX,Delhi,2015,102000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,7.9,51000
3293,Toyota Innova 2.5 GX 7 STR,Pune,2010,280000,Diesel,Manual,Third,12.8 kmpl,2494 CC,102 bhp,7.0,,6.25,140000
3294,Chevrolet Beat LT,Pune,2011,96000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,,1.8,48000
3296,Honda Jazz 1.2 S i VTEC,Mumbai,2015,62000,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,4.9,31000
3297,Nissan Micra XL Primo,Jaipur,2010,300220,Petrol,Manual,First,18.06 kmpl,1198 CC,75 bhp,5.0,,2.25,150110
3298,Maruti Ciaz AT ZXi,Coimbatore,2017,102420,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,,8.89,51210
3299,Toyota Fortuner 4x2 AT,Mumbai,2012,174000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,15.0,87000
3300,Ford Aspire Ambiente Diesel,Kolkata,2018,34000,Diesel,Manual,First,26.1 kmpl,1498 CC,99 bhp,5.0,7.56 Lakh,5.65,17000
3301,Maruti Ertiga ZDI,Jaipur,2014,114000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,7.0,57000
3302,Maruti Alto 800 LXI,Hyderabad,2016,18740,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.95,9370
3303,Honda Brio V MT,Chennai,2013,106452,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.3,53226
3304,Hyundai Verna Transform CRDi VGT SX ABS,Hyderabad,2010,240000,Diesel,Manual,Second,16.2 kmpl,1493 CC,110 bhp,5.0,,3.5,120000
3305,Honda City 1.5 GXI,Jaipur,2007,300220,Petrol,Manual,First,12.8 kmpl,1493 CC,100 bhp,5.0,,2.3,150110
3306,Hyundai Creta 1.6 CRDi SX,Coimbatore,2017,148988,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.69,74494
3307,Toyota Etios Liva GD,Delhi,2013,128000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5.0,,3.1,64000
3308,Hyundai Sonata Transform 2.4 GDi MT,Mumbai,2014,24000,Petrol,Manual,First,13.44 kmpl,2359 CC,198.25 bhp,5.0,,12.75,12000
3309,Hyundai Creta 1.6 CRDi SX Option,Pune,2017,80316,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.75,40158
3310,Honda Jazz 1.2 SV i VTEC,Chennai,2017,22000,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,6.75,11000
3311,Volkswagen Vento Diesel Comfortline,Chennai,2014,140020,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.25,70010
3312,Mahindra XUV500 W6 2WD,Mumbai,2015,164000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,8.75,82000
3313,Mahindra TUV 300 2015-2019 T8,Kochi,2017,229036,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,7.0,,8.87,114518
3314,Honda Accord 2001-2003 2.3 VTi L AT,Bangalore,2010,168000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,5.0,,6.5,84000
3315,Maruti Ertiga VDI,Pune,2012,336000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,4.5,168000
3316,Mahindra Ssangyong Rexton RX5,Hyderabad,2012,147340,Diesel,Manual,First,12.83 kmpl,2696 CC,162 bhp,7.0,,12.5,73670
3317,Toyota Fortuner 4x2 AT,Delhi,2014,179080,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,16.8,89540
3318,Maruti Ertiga ZDI,Hyderabad,2016,341692,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,8.75,170846
3319,Hyundai Elantra CRDi SX AT,Pune,2013,195292,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,5.0,,8.5,97646
3320,Hyundai i10 Magna 1.2,Kolkata,2011,70164,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.21,35082
3321,Maruti Omni MPI STD BSIV,Jaipur,2012,252000,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,5.0,,1.6,126000
3322,Honda Amaze VX AT i-Vtech,Delhi,2016,38000,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5.0,,6.25,19000
3323,Honda Civic 2006-2010 1.8 V AT,Mumbai,2007,138000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,5.0,,2.25,69000
3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,59672,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,43.07 Lakh,25.75,29836
3325,Skoda Superb 1.8 TFSI MT,Ahmedabad,2010,96004,Petrol,Manual,Second,13.14 kmpl,1798 CC,157.8 bhp,5.0,,6.75,48002
3326,Maruti Ciaz ZDi Plus SHVS,Ahmedabad,2015,104648,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,6.25,52324
3327,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,130000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.1,65000
3328,Mercedes-Benz M-Class ML 320 CDI,Mumbai,2009,132000,Diesel,Automatic,Second,8.7 kmpl,2987 CC,224.34 bhp,5.0,,10.75,66000
3329,Hyundai Grand i10 CRDi Sportz,Hyderabad,2016,151400,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,5.7,75700
3330,Volkswagen Vento Diesel Breeze,Bangalore,2013,86000,Diesel,Manual,First,20.5 kmpl,1598 CC,105 bhp,5.0,,5.95,43000
3331,Chevrolet Beat Diesel LT,Kochi,2012,85412,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,,2.4,42706
3332,Mahindra Quanto C6,Mumbai,2013,70000,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7.0,,3.49,35000
3333,Hyundai i10 Asta 1.2 AT with Sunroof,Hyderabad,2011,108696,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5.0,,4.0,54348
3334,Toyota Etios Liva 1.4 GD,Delhi,2013,168000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5.0,7.83 Lakh,3.85,84000
3335,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2010,126596,Petrol,Automatic,First,14.53 kmpl,1794 CC,138.1 bhp,5.0,,3.95,63298
3336,Hyundai i10 Magna 1.2,Jaipur,2013,300196,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.0,150098
3337,Ford Figo Aspire 1.2 Ti-VCT Titanium,Kochi,2018,96948,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,,6.7,48474
3338,Maruti Ritz ZXi,Coimbatore,2016,91068,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,6.14,45534
3339,Hyundai i20 Sportz AT 1.4,Bangalore,2012,116000,Petrol,Automatic,Second,15.0 kmpl,1396 CC,98.6 bhp,5.0,,4.4,58000
3340,Maruti Swift Dzire LDI,Pune,2017,114000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,4.25,57000
3341,BMW 7 Series 2007-2012 750Li,Kochi,2010,200644,Petrol,Automatic,First,8.77 kmpl,4395 CC,402 bhp,5.0,,25.93,100322
3342,Maruti S Cross DDiS 320 Alpha,Kolkata,2016,90000,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5.0,,7.0,45000
3343,Toyota Fortuner 4x4 AT,Coimbatore,2017,273276,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,25.12,136638
3344,Hyundai EON 1.0 Magna Plus Option O,Kochi,2017,122844,Petrol,Manual,First,20.3 kmpl,998 CC,68.05 bhp,5.0,,4.45,61422
3345,Hyundai i20 1.4 CRDi Magna,Kolkata,2011,153108,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,2.4,76554
3346,Volkswagen Vento Diesel Highline,Pune,2012,230000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,,4.33,115000
3347,Maruti Swift Dzire VXi AT,Coimbatore,2017,187396,Petrol,Automatic,First,18.5 kmpl,1197 CC,83.14 bhp,5.0,,6.93,93698
3348,Hyundai i20 Magna 1.4 CRDi,Ahmedabad,2014,128000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,4.25,64000
3349,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Pune,2010,523692,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,12.5,261846
3350,Hyundai Grand i10 Sportz,Chennai,2015,30000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.9,15000
3351,Hyundai i20 1.4 CRDi Sportz,Mumbai,2014,65440,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,4.5,32720
3352,Renault KWID RXT,Jaipur,2016,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.0,12500
3353,Hyundai Xcent 1.2 Kappa AT SX Option,Chennai,2015,119600,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5.0,,5.8,59800
3354,Volkswagen Vento Petrol Highline,Pune,2011,216844,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,3.33,108422
3355,Chevrolet Cruze LTZ AT,Kochi,2015,124484,Diesel,Automatic,First,14.39 kmpl,1998 CC,163.7 bhp,5.0,,6.62,62242
3356,Nissan Terrano XL 110 PS,Mumbai,2015,108000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.5 bhp,5.0,,5.75,54000
3357,Hyundai Verna 1.6 SX,Hyderabad,2012,130000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,6.2,65000
3358,Maruti Celerio VXI AMT,Chennai,2015,110000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,6 Lakh,3.5,55000
3359,Maruti Wagon R LXI,Pune,2010,142000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.0,71000
3360,Hyundai i20 Magna Optional 1.4 CRDi,Chennai,2012,140000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5.0,,4.0,70000
3361,Audi A4 1.8 TFSI,Mumbai,2011,106000,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5.0,,9.5,53000
